"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"Bortstein Legal Group","9","$42,304.01","625.20","$0.00","$631,527.40","$497,418.75"
"STRAWINSKI & STOUT PC","11","$25,719.64","708.00","$5,493.39","$134,083.59","$0.00"
"SLOAN & MATNEY","1","$542,805.86","427.10","$900.00","$133,870.50","$0.00"
"PRETZEL & STOUFFER CHARTERED","3","$112,232.53","611.10","$5,717.84","$133,351.21","$0.00"
"SAKAI IWANAGA SUTTON LAW GROUP","5","$88,614.56","843.89","$3,393.10","$133,024.13","$0.00"
"RUMRELL MCLEOD & BROCK PLLC","1","$267,691.56","1,181.10","$348.64","$132,592.50","$0.00"
"ROECA LURIA SHIN LLP","4","$10,469.60","929.80","$3,973.79","$132,567.09","$0.00"
"BLEAKLEY PLATT & SCHMIDT LLP","3","$487,065.24","578.65","$3,784.11","$132,357.00","$0.00"
"HANGLEY ARONCHICK SEGAL PUDLIN & SCHILLER","1","","437.80","$610.92","$132,210.60","$0.00"
"JAMES M PIERSON","25","$32,369.29","1,061.69","$897.42","$131,892.17","$0.00"
"WAI & CONNOR LLP","22","$19,273.29","913.40","$1,724.33","$131,558.79","$0.00"
"Nichols & Nichols, LLC","23","$39,162.61","1,091.20","$11,712.90","$130,730.94","$0.00"
"Gray Robinson","5","$80,052.69","1,061.10","$162,319.83","$130,402.95","$0.00"
"Cooley","3","$57,652.87","189.70","$5,700.76","$130,233.00","$0.00"
"WALTON LANTAFF SCHROEDER & CARSON","1","$417,883.81","783.70","$3,619.09","$130,087.50","$0.00"
"SIMPSON LOGBACK LYNCH NORRIS PA","9","$56,973.53","876.80","$4,880.90","$130,060.64","$0.00"
"Fitzpatrick Lentz","9","$40,573.97","474.90","$28,907.96","$129,912.64","$0.00"
"SA LAW PC","3","$108,462.29","354.89","$4,957.58","$129,262.50","$0.00"
"BLACK & ROSE","39","$14,022.46","1,006.70","$641.16","$129,059.95","$0.00"
"Barnes & Neil","3","$75,997.62","368.40","$126.64","$128,940.00","$0.00"
"FARMER CASE & FEDOR","1","$153,816.30","816.60","$15,590.01","$128,721.00","$0.00"
"MASLON LLP, .","2","$113,037.46","426.12","$0.00","$130,378.56","$2,337.40"
"RUDER WARE, LLSC","1","$196,582.21","1,396.30","$6,034.78","$127,592.96","$0.00"
"OFFUTT NORD ASHWORTH PLLC","12","$22,843.03","1,001.20","$9,737.47","$126,832.50","$0.00"
"JONES SKELTON & HOCHULI PLC","11","$14,831.95","762.10","$3,735.05","$126,580.75","$0.00"
"CLEARY SHAHI & AICHER PC","9","$35,694.66","796.90","$4,163.93","$126,551.63","$0.00"
"FOWLER WHITE BURNETT PA","2","$149,501.05","986.20","$8,745.63","$125,473.29","$0.00"
"FISK FIRM PC","2","$67,299.01","1,142.30","$9,855.19","$124,742.82","$0.00"
"LAFOLLETTE JOHNSON DEHAAS FESLER & AMES","2","$218,969.12","554.00","$10,894.61","$124,650.00","$0.00"
"Montgomery, Little & Soran","1","","907.40","$423.40","$123,650.60","$0.00"
"LEVY SIBLEY FOREMAN & SPEIR LLC","29","$4,672.58","944.20","$43.50","$122,631.92","$0.00"
"Bongiorno Montiglio & Palmieri","9","$25,967.07","727.70","$1,818.99","$122,324.40","$0.00"
"COOPER & SCULLY","5","$37,255.88","576.00","$29,699.52","$122,278.50","$0.00"
"COTTRELL SOLENSKY PA","21","$4,778.62","788.50","$1,567.34","$121,454.25","$0.00"
"BURKE MCPHEETERS BORDNER & ESTES AAL ALC","10","$30,434.47","854.10","$32,757.78","$121,451.65","$0.00"
"BERK MERCHANT & SIMS","9","$14,372.47","1,039.00","$3,531.17","$121,423.33","$0.00"
"Meyer, Fluegge, Tenney","1","","671.10","$0.00","$121,336.00","$0.00"
"Archer & Greiner","19","$22,947.35","573.20","$1,474.22","$121,330.50","$0.00"
"WIEDNER & MCAULIFFE LTD","6","$35,339.85","772.80","$41,924.87","$120,559.00","$0.00"
