"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"HUNT SUEDHOFF & KALAMAROS LLP","1","$54,081.47","15.90","$111.22","$4,166.50","$0.00"
"Masini, Vickers & Hadsell","1","","17.30","$0.00","$4,152.00","$0.00"
"Vaughan Baio & Partners","12","$1,962.07","33.10","$0.00","$4,108.42","$0.00"
"Katten Muchin Rosenman","5","$78,248.20","5.60","$0.00","$125,182.60","$121,165.00"
"GOERING ROBERTS RUBIN BROGNA ENOS & TREADWELL-RUBIN PC","4","$1,691.79","47.60","$220.96","$3,976.21","$0.00"
"Larson Kuper & Wenninghoff Pc Llo","3","$4,134.81","46.50","$30.00","$3,966.12","$0.00"
"HIGHTOWER & PARTNERS","1","","32.40","$11.57","$3,924.00","$0.00"
"GILDEA COGHLAN & REGAN LTD","1","","34.80","$0.00","$3,890.00","$0.00"
"Shively Law Pc Llo","2","$10,155.22","26.50","$30.00","$3,854.38","$0.00"
"Mel Goddard","1","","1.30","$6,147.45","$61,160.91","$57,324.75"
"Watson Law Firm PLLC","1","$4,938.80","46.90","$50.00","$3,829.56","$0.00"
"DURBIN LARIMORE & BIALICK","1","$42,771.66","20.00","$345.33","$3,819.00","$0.00"
"FISHER PATTERSON SAYLER & SMITH LLP","3","$7,783.07","241.10","$643.01","$3,811.96","$0.00"
"THE LAW FIRM OF CONNORS & CONNORS PC","1","","22.10","$1,094.90","$3,732.50","$0.00"
"THE COLLINS LAW FIRM PLLC","2","$13,310.84","30.10","$124.22","$3,678.74","$0.00"
"Hickcox Robertson & Stunda","8","","24.00","$86.50","$3,649.40","$0.00"
"D'Amato & Lynch","2","$34,806.40","11.00","$6.10","$3,618.10","$0.00"
"SUPPLE DIPOPOLO & WATSON LLC","1","$14,345.00","38.00","$0.00","$3,610.00","$0.00"
"CHAPMAN LAW GROUP","1","$4,162.95","11.60","$566.95","$3,596.00","$0.00"
"HOLTSFORD GILLILAND HIGGINS HITSON & HOWARD PC","1","$5,099.69","69.50","$92.51","$3,584.94","$0.00"
"SCOTTHULSE LAW FIRM PC","2","$3,427.87","24.00","$0.08","$3,537.32","$0.00"
"BUDD LARNER, P.C.","1","$906,892.55","18.70","$2,460.00","$3,537.09","$0.00"
"Esposito & Traverso Abogados","2","$5,500.89","4.00","$0.00","$60,973.00","$57,475.00"
"BOVIS KYLE BURCH & MEDLIN LLC","1","$28,009.39","20.80","$26.78","$3,452.09","$0.00"
"CHAFFE MCCALL LLP","1","$270,880.96","15.30","$0.00","$3,429.00","$0.00"
"RUDMAN & WINCHELL","3","$1,227.61","24.20","$0.48","$3,387.38","$0.00"
"Boyle, Shaughnessy & Campo, P.C","1","$1,084,730.93","17.10","$13,782.10","$3,377.50","$0.00"
"DONOHUE BROWN MATHEWSON & SMYTH LLC","1","$5,607.47","22.50","$2,291.13","$3,316.34","$0.00"
"BRADY CONNOLLY MASUDA PC","1","$30,591.34","23.50","$0.60","$3,307.80","$0.00"
"NATION SCHOENING MOLL PC","1","$3,922.96","24.60","$16.96","$3,262.00","$0.00"
"Smith Katzenstein & Jenkins","1","$3,448.25","7.30","$188.25","$3,260.00","$0.00"
"CHAFFEE, MCCALL, PHILLIPS, TOLER & SARPY, LLP","1","$270,880.96","16.80","$0.00","$3,256.20","$0.00"
"Izzo Gardner & Moran","2","","20.50","$0.00","$3,199.60","$0.00"
"HANSON BRIDGETT LLP","1","$4,043.22","28.50","$843.82","$3,199.40","$0.00"
"Gress, Clark","1","$3,195.50","25.80","$0.00","$3,195.50","$0.00"
"SEIFER YEATS ZWIERZYNSKI & GRAGG LLP","1","$8,054.73","17.30","$605.73","$3,172.20","$0.00"
"BONNE, BRIDGES, MUELLER, O'KEEFE, NICHOLS","1","$3,492.89","16.70","$323.39","$3,169.50","$0.00"
"MCMAHON LAW FIRM INC","1","$31,630.83","23.00","$1,116.40","$3,144.42","$0.00"
"GASKELL & BROWN LLP","4","$24,275.06","20.20","$0.00","$3,090.00","$0.00"
"GABLE & GOTWALS APC","1","$99,423.17","25.20","$177.27","$3,084.00","$0.00"
"Ogier","1","$25,789.30","13.90","$0.00","$3,055.50","$0.00"
"POORE ROTH & ROBINSON","1","$3,052.50","16.50","$0.00","$3,052.50","$0.00"
"WIMBERLY LAWSON WRIGHT DAVES & JONES PLLC","2","$2,766.13","21.40","$1.20","$3,048.50","$0.00"
"BLANEY MCMURTRY LLP","1","$26,037.90","16.00","$0.00","$3,040.00","$0.00"
"KNUDSEN BERKHEIMER RICHARDSON & ENDACOTT LLP","1","$10,395.93","28.30","$15.00","$3,017.50","$0.00"
"BRIDGES YOUNG MATTHEWS DRAKE PLC","5","$4,018.54","25.70","$0.00","$2,974.96","$0.00"
"AUSTILL LEWIS PIPKIN & MADDOX PC","2","$18,275.15","24.90","$9.20","$2,922.00","$0.00"
"KIRBY A VERNON LLC","2","$5,335.00","21.10","$0.00","$2,898.00","$0.00"
"GOLDMAN, MAGDALIN, AND KRIKES","3","$20,474.25","23.20","$0.00","$2,895.50","$0.00"
"POWELL BREDICE & STERN PLC","1","$25,732.95","25.40","$0.00","$2,892.27","$0.00"
"RYAN RYAN & DELUCA LLP","2","$1,438.00","13.70","$0.00","$2,876.00","$0.00"
"MKRS LAW PL","1","$10,879.14","26.80","$94.76","$2,875.00","$0.00"
"GIBSON MCASKILL CROSBY","1","$2,865.00","14.20","$0.00","$2,865.00","$0.00"
"LARSON KUPER WENNINGHOFF & CARNEY","1","$6,238.10","30.40","$5.28","$2,845.28","$0.00"
"BOOTH MITCHEL & STRANGE LLP","1","$2,787.25","29.90","$0.00","$2,787.25","$0.00"
"HASSETT & DONNELLY, PC","1","$472,696.97","17.00","$3.10","$2,786.81","$0.00"
"Hagwood Adelman Tipton, PC","2","$37,274.08","27.70","$9.87","$2,780.99","$0.00"
"ANDERSON CRAWLEY & BURKE PLLC","2","$11,693.99","23.00","$0.00","$2,733.33","$0.00"
"MELCHIODE MARKS KING LLC","1","$66,140.81","14.20","$676.00","$2,714.00","$0.00"
"BASCOM BUDISH & CEMAN","2","$12,096.85","23.30","$699.88","$2,710.59","$0.00"
"Mokri, Vanis & Jones LLP","1","$21,493.74","29.10","$529.12","$2,662.00","$0.00"
"Murphy and Karpie, LLC","1","$5,318.00","18.70","$0.00","$2,622.00","$0.00"
"STUBER COOPER VOGE, PLLC","1","$394,768.23","9.20","$0.00","$2,565.00","$0.00"
"BUSH & AUGSPURGER PA","1","$6,588.75","25.10","$0.00","$2,560.12","$0.00"
"Law Firm Of Mary J Mraz","1","$2,537.50","14.50","$0.00","$2,537.50","$0.00"
"WALSH & HACKER","7","$860.93","17.30","$0.00","$2,536.50","$0.00"
"GIERACH & GIERACH","1","$28,930.00","21.90","$0.00","$2,533.00","$0.00"
"POWERS TOLMAN FARLEY PLLC","3","$87,191.53","16.50","$17.28","$2,461.31","$0.00"
"KNELL LAW LLC","1","$56,010.48","19.50","$10.56","$2,437.50","$0.00"
"SALLEY HITE MERCER & RESOR LLC","1","$2,336.80","12.70","$0.00","$2,336.80","$0.00"
"LIEDLE LOUNSBERY LARSON & LIDL LLP","2","$38,237.98","16.50","$272.75","$2,332.26","$0.00"
"J. ADAM BARTLETT","1","$3,303.28","20.70","$327.28","$2,329.00","$0.00"
"TONKON TORP, LLP","1","$3,571.50","8.60","$1,246.50","$2,325.00","$0.00"
"MEYER, SUOZZI, ENGLISH, KLEIN","1","$179,033.03","28.30","$0.00","$2,316.93","$0.00"
"GROELLE & SALMON PA","1","$2,833.44","25.10","$447.44","$2,306.00","$0.00"
"MURPHY & BEANE","1","$14,746.50","16.90","$0.00","$2,281.50","$0.00"
"McConnell Valdes","1","$1,182,294.46","11.90","$505.00","$2,256.30","$0.00"
"RUSSO & TONER LLP","1","","13.20","$0.00","$2,253.50","$0.00"
"SHEELEY LAW, LLC","1","$27,481.25","10.00","$0.00","$2,250.00","$0.00"
"LEAHY EISENBERG & FRAENKEL LTD","2","$26,812.85","12.10","$0.00","$2,245.65","$0.00"
"EPPERSON & OWENS PC","1","$76,933.84","13.20","$133.00","$2,240.22","$0.00"
"Haight, Brown & Bonesteel, L.L.P","4","$39,809.27","28.00","$0.00","$2,231.76","$0.00"
"LLARENA MURDOCK LOPEZ & AZIZAD APC","1","$3,039.72","14.80","$0.00","$2,220.00","$0.00"
"FALLON VAN HORN LLC","1","$9,175.10","14.70","$0.00","$2,205.00","$0.00"
"BLACK BALLARD MCDONALD PC","1","$11,674.88","39.80","$1,814.00","$2,184.00","$0.00"
"Mathis Legal","1","","11.30","$0.00","$2,147.00","$0.00"
"PEARSON BITMAN LLP","1","$40,916.28","12.20","$1.28","$2,135.00","$0.00"
"WORTHINGTON & WORTHINGTON LLC","2","$6,984.95","14.70","$0.00","$2,131.50","$0.00"
"Chaffee Mccall","1","$270,880.96","9.00","$0.00","$2,075.40","$0.00"
"Lewis Wagner","1","$13,261.25","23.70","$0.00","$2,073.75","$0.00"
"Roxborough, Pomerance, Nye & Adreani","1","$359,036.32","2.00","$0.00","$2,038.50","$0.00"
"SEIGFREID, BINGHAM, LEVY, SELZER & GEE","1","$37,016.80","17.60","$1,610.00","$2,024.00","$0.00"
"GORDON & SILBER, PC","1","$43,642.65","11.30","$37.00","$2,021.19","$0.00"
"Sheehan, Barnett, Hays, Dean & Pennington, P.S.C.","1","$2,001.00","5.80","$0.00","$2,001.00","$0.00"
"Windels, Marx, Lane & Mittendorf, LLP","1","$2,000.00","1.00","$0.00","$2,000.00","$0.00"
"Louis Lavorato","1","$2,000.00","1.00","$0.00","$2,000.00","$0.00"
"LEONATTI BAKER PC","2","$1,795.53","26.40","$386.65","$1,986.02","$0.00"
"ZIMMER, KUNZ, PLLC","1","$77,850.48","14.90","$91.22","$1,937.00","$0.00"
"REED CLAYMON MEEKER & HARGOTT PLLC","1","$3,738.34","9.10","$5.54","$1,930.70","$0.00"
"SIROTE & PERMUTT PC","1","$2,629.00","21.10","$0.00","$1,883.50","$0.00"
"Curtis, Mallet-Prevost, Colt & Mosle","1","$713,358.69","3.40","$0.00","$1,881.85","$0.00"
"LUCKETT TYNER LAW FIRM PA","3","$8,789.49","14.10","$11.12","$1,860.64","$0.00"
"Lee Clark Law Firm","4","$588.92","12.30","$131.75","$1,845.00","$0.00"
"BROWN HAY & STEPHENS LLP","1","$1,840.00","9.20","$0.00","$1,840.00","$0.00"
"JOHN R LEWIS","1","$8,293.00","10.70","$0.00","$1,819.00","$0.00"
"GROOM LAW GROUP","1","","2.00","$0.00","$1,800.00","$0.00"
"STEPHEN K BRUNK","1","$18,466.75","6.50","$750.00","$1,787.50","$0.00"
"O'NEILL & BORGES","1","$5,962,601.56","8.40","$17.12","$1,775.00","$0.00"
"SHARP LAW FIRM","1","$425,381.57","8.50","$0.00","$1,700.00","$0.00"
"Demaria Law Firm","1","$4,703.97","12.80","$0.00","$1,696.00","$0.00"
"Russo Toner","1","","11.80","$161.10","$1,649.00","$0.00"
"ROSENBLUM NEWFIELD","1","$61,273.05","11.70","$0.00","$1,599.30","$0.00"
"Stone Loughlin & Swanson","1","$1,586.00","16.60","$0.00","$1,586.00","$0.00"
"BAUMANN GANT & KEELEY PA","3","$2,168.09","19.50","$0.00","$1,577.78","$0.00"
"CORNELIUS & COLLINS, LLP","1","","9.90","$0.00","$1,505.44","$0.00"
"Technology Concepts & Design","1","","8.00","$1,369.04","$1,500.36","$0.00"
"CLEMENT & DROTZ, PLLC","1","$1,470.00","7.00","$0.00","$1,470.00","$0.00"
"Baetz Law Firm","1","$8,352.50","1.00","$0.00","$1,462.50","$0.00"
"Quarles & Brady","1","$52,966.57","2.40","$0.00","$1,455.00","$0.00"
"ELLIS PAINTER RATTEREE & ADAMS LLP","1","$1,440.00","8.00","$0.00","$1,440.00","$0.00"
"Sugden, Mcfee & Roos","1","$6,943,128.84","2.00","$7,080.00","$6,051.12","$4,620.09"
"Cullen and Dykman","1","$99,891.65","9.50","$0.00","$1,425.00","$0.00"
"SKANE WILCOX LLP","1","$5,492.08","16.40","$2,664.26","$1,416.00","$0.00"
"FRANKLIN PROKOPIK","2","$9,278.25","20.60","$16.38","$1,359.00","$0.00"
"Bufete Dr Fa Arias Sa De Cv","1","","2.00","$0.00","$1,356.00","$0.00"
"SHORALL MCGOLDRICK BRINKMANN","2","$8,420.89","10.30","$6.70","$1,351.77","$0.00"
"OGAWA LAU NAKAMURA & JEW","1","$3,429.21","4.90","$63.49","$1,347.50","$0.00"
"Segal McCambridge Singer & Mahoney","3","$8,557.96","19.90","$298.96","$1,312.95","$0.00"
"Newby, Lewis, Kaminski & Jones","1","$15,129.46","10.70","$0.00","$1,299.00","$0.00"
"RIZZO MATTINGLY BOSWORTH PC","1","$9,180.00","9.70","$1.44","$1,279.61","$0.00"
"Sinnreich Kosakoff & Messina Llp","3","$243,186.20","6.90","$0.16","$1,229.00","$0.00"
"LANGLEY, BANACK & BUTLER","1","","7.70","$0.00","$1,214.15","$0.00"
"TOOMEY & ASSOCIATES PC","3","$55,650.53","7.30","$0.00","$1,149.00","$0.00"
"O'CONNOR MCGUINNESS CONTE DOYLE & OLESON","1","$178,088.90","8.50","$0.00","$1,137.35","$0.00"
"Raffalli De Lemos Halvorssen Ortega Y Ortiz","1","$499,107.93","1.00","$0.00","$1,108.38","$0.00"
"HODGE AND LANGLEY LAW FIRM, P.C.","1","","5.30","$204.45","$1,106.28","$0.00"
"VON BRIESEN & ROPER","1","$4,733.37","7.60","$0.00","$1,102.00","$0.00"
"Mcatee And Cassody","1","$8,419.53","11.00","$0.00","$1,100.00","$0.00"
"RYMER ECHOLS SLAY WILKERSON & NELSON-ARCHER PC","1","$11,284.41","6.90","$3.44","$1,081.56","$0.00"
"EICHENBAUM LILES PA","1","$9,716.28","5.00","$143.52","$1,050.00","$0.00"
"Stiles, Byrum & Horne","1","$1,620.80","7.50","$0.00","$1,042.50","$0.00"
"Brigard & Urrutia, Abogados","1","","2.00","$167.89","$16,115.20","$15,081.98"
"LYNCH GILARDI & GRUMMER","1","$279,844.86","5.60","$0.00","$1,032.08","$0.00"
"WILSON & PESOTA LLP","2","$6,550.45","7.30","$18.00","$1,022.00","$0.00"
"A. SMITH LAW GROUP","1","$95,109.50","5.50","$0.00","$990.00","$0.00"
"LLARENA MURDOCK LOPEZ & MOTSCHENBACHER","2","$6,953.15","8.10","$54.72","$970.20","$0.00"
"Britton & Iglesias","1","","2.00","$2,967.25","$7,561.96","$6,598.96"
"Graft & Walraven","1","","3.20","$0.00","$960.00","$0.00"
"MOORE LEONHARDT & ASSOCIATES","1","$3,122.50","4.80","$0.00","$958.50","$0.00"
"FITZER FITZER VEAL MCAMIS","1","$61,870.91","3.80","$104.71","$950.00","$0.00"
"WORTHINGTON LAW OFFICES","2","$6,984.95","6.40","$0.00","$928.00","$0.00"
"Miller, Canfield, Paddock and Stone, PLC","1","$18,789.21","4.40","$0.00","$917.62","$0.00"
"CREAR, CHADWELL, DOS SANTOS & DEVLIN, P.C.","1","$10,628.27","6.90","$0.00","$897.80","$0.00"
"ARCHER, LASSA & MCHUGH","1","$28,831.35","7.30","$0.00","$876.00","$0.00"
"Williams, Kastner","1","","3.30","$0.00","$874.50","$0.00"
"VOORHIES & LABBE","1","$2,080.00","4.30","$100.00","$860.00","$0.00"
"PEARLMAN BORSKA & WAX","5","$22,717.00","6.30","$0.00","$859.00","$0.00"
"Rynearson, Suess, Schnurbusch & Champion, L.L.C.","1","$13,129.93","6.00","$0.00","$832.23","$0.00"
"DEAN RINGERS MORGAN AND LAWTON","1","$13,832.35","8.50","$0.88","$804.58","$0.00"
"RUBIN FIORELLA FRIEDMAN & MERCANTE LLP","1","$755.71","10.40","$0.00","$755.71","$0.00"
"AHMAD ZAVITSANOS ANAIPAKOS ALAVI & MENSING PC","2","$276.50","2.00","$0.00","$749.99","$0.00"
"JACQUE BRAWNER DEAN LAW. PLLC","1","$712.50","5.70","$0.00","$712.50","$0.00"
"KAHN DEES DONOVAN & KAHN LLP","1","$6,167.16","53.00","$0.00","$705.15","$0.00"
"Offit Kurman, P.A.","1","$27,347.28","3.70","$0.00","$703.00","$0.00"
"SPIEGEL,CAHILL","1","$687.50","5.50","$0.00","$687.50","$0.00"
"BOOTH LLP","1","$28,376.09","6.90","$0.00","$639.00","$0.00"
"Tybout, Redfearn & Pell","1","","20.60","$16.50","$637.30","$0.00"
"GANAN, SHAPIRO","1","$18,480.00","5.10","$0.00","$612.00","$0.00"
"SCHMIDT DAILEY & O'NEILL LLC","1","$612.00","5.10","$0.00","$612.00","$0.00"
"Lesnick Prince & Pappas","1","$588.50","1.10","$0.00","$588.50","$0.00"
"The Barber Law Firm","2","$4,802.89","6.70","$0.00","$577.25","$0.00"
"BONEZZI SWITZER MURPHY POLITO & HUPP","1","$1,086.90","4.60","$0.00","$576.00","$0.00"
"Shealy, Crum & Pike, LLC","1","$1,979.86","4.40","$0.00","$563.40","$0.00"
"Taylor, Pigue, Marchetti & Blair, PLLC","1","$10,275.40","4.60","$0.00","$562.15","$0.00"
"COHEN SEGLIAS PALLAS GREENHALL & FURMAN P.C.","1","$32,863.08","2.80","$0.00","$546.00","$0.00"
"Monaco Cooper Lamme & Carr","1","$546.00","2.80","$0.00","$546.00","$0.00"
"SCHELDRUP BLADES SCHROCK SMITH PC","2","$23,649.20","4.50","$1.44","$517.50","$0.00"
"SCOFIELD & RIVERA LLC","1","$38,234.06","2.50","$19.50","$500.00","$0.00"
"Rexach & Pico","1","$6,311.40","1.00","$0.00","$486.00","$0.00"
"Reardon Scanlon Vodola","1","$1,230.00","1.60","$0.00","$480.00","$0.00"
"FANT LAW PA","1","$2,210.42","3.30","$0.00","$445.50","$0.00"
"Brown, Crump, Vanore & Tierney","1","$7,888.50","3.00","$0.00","$444.50","$0.00"
"KLENDA AUSTERMAN LLC","2","$98,222.16","2.80","$0.00","$393.83","$0.00"
"Badham & Buck","1","$2,342,869.20","0.90","$0.00","$355.50","$0.00"
"FINNEGAN MARKS THEOFEL DESMOND","2","$5,719.70","2.60","$0.00","$351.30","$0.00"
"Meenan","1","$44,633.05","1.00","$0.00","$350.00","$0.00"
"Adams and Reese","2","$7,554.24","1.40","$0.00","$347.00","$0.00"
"Ayon Law Firm","1","$339.50","2.50","$0.00","$339.50","$0.00"
"JOHANSON & FAIRLESS LLP","1","$78,664.93","1.60","$0.00","$336.00","$0.00"
"BARLEY SNYDER","1","$21,238.00","2.40","$0.00","$294.00","$0.00"
"WHITEMAN OSTERMAN & HANNA","1","","4.20","$0.00","$276.98","$0.00"
"THOMPSON BECKER & BOTHWELL LLC","1","$127,766.18","1.60","$854.97","$271.68","$0.00"
"Hinman Straub","1","$270.00","0.60","$0.00","$270.00","$0.00"
"KATHRYN M STANTON PC","4","$27,711.06","1.30","$0.00","$266.50","$0.00"
"Duke Evett","1","","1.60","$0.00","$263.45","$0.00"
"CUZDEY EHRMANN WAGNER STINE & SANSALONE LLC","1","$2,844.00","1.90","$0.00","$261.00","$0.00"
"LATHAM WAGNER STEELE & LEHMAN PC","1","$10,301.50","2.90","$0.00","$259.50","$0.00"
"Alverson Taylor & Sanders","1","","12.90","$0.00","$242.00","$0.00"
"OLIVERAS & ORTIZ LAW OFFICES, .","1","$242.00","2.20","$0.00","$242.00","$0.00"
"White & Case","1","$2,143,268.16","0.30","$0.00","$240.30","$0.00"
"THE MCLEAN LAW GROUP","1","$24,135.53","1.60","$0.00","$240.00","$0.00"
"Greene Espel","1","$64,251.00","2.00","$350.00","$3,901.00","$3,663.00"
"Mendoza, Palacios, Acedo, Borjas, Paez, Pumar & Cia","1","$499,107.93","2.00","$0.00","$100,854.23","$100,622.23"
"JONES CORK MILLER LLP","1","","1.80","$0.00","$225.00","$0.00"
"HURRELL & CANTRALL","1","$10,527.06","6.10","$0.00","$216.50","$0.00"
"THE KENDRICK LAW FIRM","1","$7,999.00","1.10","$0.00","$209.00","$0.00"
"ROY LAMBERT LOVELACE BINGAMAN & WOOD LLP","1","$14,508.17","1.40","$0.00","$196.00","$0.00"
"QUANE JONES MCCOLL","1","$11,904.88","1.00","$0.08","$195.00","$0.00"
"Black, Hedin, Ballard, McDonald","1","$11,674.88","2.40","$0.00","$192.00","$0.00"
"Broening, Oberg, Woods & Wilson","1","$189.00","0.90","$0.00","$189.00","$0.00"
"GAEBE, MULLEN , ANTONELLI, ESCO, DIMATTEO","1","$4,524.56","1.50","$2.28","$187.50","$0.00"
"Hamrick & Evans","1","$2,030.69","1.20","$797.71","$168.78","$0.00"
"Northcraft, Bigby & Biggs, P.C","1","$60,974.30","1.50","$574.05","$157.50","$0.00"
"Lashly & Baer","1","$42,857.36","1.30","$0.00","$157.07","$0.00"
"Ramsden Marfice Ealy & Harris","1","$150.00","0.50","$0.00","$150.00","$0.00"
"Kerley Walsh Matera & Cinquemani","1","$140.00","0.80","$0.00","$140.00","$0.00"
"MCFARLANE FERGUSON MCMULLEN","1","$76,215.33","0.80","$350.00","$128.00","$0.00"
"BLACKBURN DOMENE & BURCHETT","1","$22,376.97","4.30","$0.00","$128.00","$0.00"
"RAI, BARONE, PC","1","$374.50","1.60","$0.00","$128.00","$0.00"
"Goodman Neuman Hamilton Llp","1","$59,950.11","0.60","$0.00","$126.00","$0.00"
"CURTIN, MURPHY, O'REILLY","1","$225.00","0.80","$0.00","$120.00","$0.00"
"Talley, Anthony, Hughes & Knight, LLC","1","$629,741.53","0.60","$0.00","$117.00","$0.00"
"PETRONE & PETRONE PC","1","$6,424.96","1.30","$35.00","$111.84","$0.00"
"YOUNG MOORE & HENDERSON PA","1","$8,752.00","4.70","$0.00","$111.50","$0.00"
"WEEB ZSCHUNKE NEARY & DIKEMAN LLP","1","$46,590.52","0.40","$0.00","$86.00","$0.00"
"Santos & Bevilaqua Sociedade De Advogados","1","$5,500.89","1.00","$0.00","$3,080.89","$3,000.00"
"KENNETH ARTHUR RIGBY, PLLC","1","$202,059.14","0.40","$0.00","$76.50","$0.00"
"MCCANDLISH HOLTON PC","1","$47.00","0.20","$0.00","$47.00","$0.00"
"ORTALE KELLEY HERBERT & CRAWFORD","1","$12,469.75","0.30","$0.00","$45.00","$0.00"
"WALL TEMPLETON","1","$58,271.86","0.50","$2,310.83","$43.75","$0.00"
"AIKEN BRIDGES ELLIOTT TYLER & SALEEBY PA","1","$4,491.14","0.30","$0.00","$40.74","$0.00"
"CARAWAY LEBLANC LLC","1","$11,242.17","0.20","$0.00","$35.00","$0.00"
"Allen Law Firm","1","$192,981.60","0.10","$0.00","$35.00","$0.00"
"MCCARTY & ASSOCIATES PLLC","1","$21,307.57","0.30","$0.00","$29.70","$0.00"
"SHERRARD ROE VOIGT & HARBISON PLC","1","$32,779.80","1.10","$0.00","$23.13","$0.00"
"Ruoss Voegele Partner","2","$20,316.16","1.00","$1,091.55","$10,563.85","$10,554.00"
"King & Wood Mallesons","1","$30,924.06","0.00","$0.00","$3,144.43","$3,144.43"
"Carmody Macdonald","1","","0.00","$49.95","$5,442.50","$5,442.50"
"Sheppard Mullin Richter & Hampton","1","$20,000.00","0.00","$0.00","$20,000.00","$20,000.00"
"Thomas P. Stillman","1","$253,891.38","0.00","$1,009.20","$8,797.50","$8,797.50"
"Pls Traductores","1","","0.00","$0.00","$3,164.00","$3,164.00"
"Joseph Hage Aaronson","1","","0.00","$16,833.36","$225,615.82","$225,615.82"
"Kim Dean Hogrefe","1","$312,055.17","0.00","$56.66","$3,968.75","$3,968.75"
"Cabra Hulme Advisory Services","1","","0.00","$0.00","$40,819.89","$40,819.89"
"Allen & Gledhill","1","$35,127.82","0.00","$36.44","$8,045.12","$8,045.12"
"Impact Public Affairs","1","","0.00","$0.00","$72,000.00","$72,000.00"
"Mills Oakley Law Practice Trust Account","1","$15,066.90","0.00","$0.00","$11,231.40","$11,231.40"
"Mr David Scorey Qc","1","$389,708.77","0.00","$0.00","$46,913.40","$46,913.40"
"Dillon Eustace","1","$27,171.06","0.00","$35.61","$27,135.45","$27,135.45"
"Herbert Smith Freehills","1","$89,577.95","0.00","$9,995.25","$79,582.70","$79,582.70"
"Kramer & Amado","1","$18,518.75","0.00","$0.00","$18,518.75","$18,518.75"
"A & L Goodbody Solicitors","2","$18,700.51","0.00","$0.00","$14,768.56","$14,768.56"
"Key Advocacy","1","$21,600.00","0.00","$0.00","$21,600.00","$21,600.00"
"Stevens & Lee","1","","0.00","$0.00","$166,500.00","$166,500.00"
"Stephen Mannion (Private Individual","1","","0.00","$6,117.58","$24,306.66","$24,306.66"
"Murray A. Klayman","1","$10,000.00","0.00","$10,000.00","$0.00","$0.00"
"Growthcounsel","1","$24,225.00","0.00","$0.00","$24,225.00","$24,225.00"
"Consortium Legal (Honduras","1","$13,247.37","0.00","$241.36","$6,210.00","$6,210.00"
"Cohen & Gresser LLP","1","$368,548.14","0.00","$0.00","$300,000.00","$300,000.00"
"Wachtell, Lipton, Rosen & Katz","1","","0.00","$853,402.78","$539,118.32","$539,118.32"
"Kbk Abogados","1","","0.00","$0.00","$20,540.00","$20,540.00"
